experiment,fold,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_class_counts,test_class_counts
whorl_resnet18_logistic_balanced,19,427,106,0.8679245283018868,0.37938144329896906,0.38518518518518513,0.8645702306079665,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,20,427,106,0.8679245283018868,0.4426116838487973,0.4426116838487973,0.8679245283018868,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,21,426,107,0.9158878504672897,0.47653061224489796,0.5350746268656716,0.9015134607337145,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,22,426,107,0.822429906542056,0.3792517006802721,0.36718480138169257,0.8331993608057721,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,23,426,107,0.8411214953271028,0.4135166093928981,0.4065364687126345,0.8439449756577256,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,24,427,106,0.8867924528301887,0.38625429553264606,0.39805414551607443,0.8757901541997895,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,25,427,106,0.8962264150943396,0.46958762886597943,0.49990599736792635,0.8881067160446532,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,26,426,107,0.8598130841121495,0.3761904761904762,0.3761904761904762,0.8598130841121495,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,27,426,107,0.8598130841121495,0.39285714285714285,0.3746192893401015,0.8536268323924285,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,28,426,107,0.8598130841121495,0.368270332187858,0.3746192893401015,0.8487309644670051,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,29,427,106,0.9056603773584906,0.4730240549828179,0.5109427609427609,0.893248522965504,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,30,427,106,0.9056603773584906,0.4896907216494846,0.4646464646464647,0.8856489422527158,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,31,426,107,0.897196261682243,0.38979591836734695,0.398424543946932,0.877446877760729,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,32,426,107,0.8785046728971962,0.6061224489795919,0.5701400882748032,0.8863869922898541,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,33,426,107,0.8598130841121495,0.5002863688430699,0.525375315530756,0.8698740608575483,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,34,427,106,0.8962264150943396,0.5328178694158076,0.5326014191993573,0.8958588581230091,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,35,427,106,0.8773584905660378,0.38281786941580753,0.39467005076142136,0.8664998563356001,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,36,426,107,0.8878504672897196,0.5295918367346939,0.519075369075369,0.8905605298128662,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,37,426,107,0.8504672897196262,0.5959183673469388,0.5519763460939932,0.8728849795369861,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,38,426,107,0.8691588785046729,0.4516036655211913,0.4576719576719577,0.8625574840528112,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,39,427,106,0.8867924528301887,0.38625429553264606,0.3872053872053873,0.8701162569087098,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,40,427,106,0.8867924528301887,0.38625429553264606,0.40995890742083635,0.8774747903183878,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,41,426,107,0.8785046728971962,0.38299319727891157,0.39646464646464646,0.8720617388841688,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,42,426,107,0.8411214953271028,0.38605442176870747,0.38760683760683756,0.8453870117421519,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,43,426,107,0.8598130841121495,0.3161512027491409,0.3082077051926298,0.8382097402902362,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,44,427,106,0.8490566037735849,0.30927835051546393,0.3076923076923077,0.8447024673439769,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,45,427,106,0.8679245283018868,0.37938144329896906,0.4047619047619048,0.8632075471698113,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,46,426,107,0.8878504672897196,0.4663265306122449,0.48244348244348245,0.8820380035333306,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,47,426,107,0.8785046728971962,0.4462585034013606,0.44467005076142135,0.8741401394753072,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 389}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 98}"
whorl_resnet18_logistic_balanced,48,426,107,0.8691588785046729,0.4516036655211913,0.4653679653679654,0.8626653720111663,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 20, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 6, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,49,427,106,0.9056603773584906,0.393127147766323,0.40319865319865317,0.8899132837812084,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
whorl_resnet18_logistic_balanced,50,427,106,0.8773584905660378,0.5259450171821306,0.5182882364229514,0.8807095295510584,"{'central_pocket_loop_whorl': 16, 'double_loop_whorl': 21, 'plain_whorl': 390}","{'central_pocket_loop_whorl': 4, 'double_loop_whorl': 5, 'plain_whorl': 97}"
