task,model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_class_counts,test_class_counts
arch,rbf_svc_C1,12,0.8,0.6,0.6078431372549019,0.7450980392156862,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,13,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,14,0.7,0.5333333333333333,0.53125,0.671875,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,15,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,16,0.7619047619047619,0.5833333333333334,0.5714285714285714,0.693877551020408,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,rbf_svc_C1,17,0.7,0.4666666666666667,0.4117647058823529,0.6176470588235293,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,18,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,19,0.7,0.5333333333333333,0.53125,0.671875,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,20,0.85,0.7,0.7402597402597402,0.8246753246753247,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,21,0.8095238095238095,0.6666666666666666,0.6911764705882353,0.7731092436974789,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,rbf_svc_C1,22,0.75,0.5,0.42857142857142855,0.6428571428571428,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,23,0.75,0.5666666666666667,0.5670995670995671,0.7077922077922079,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,24,0.55,0.36666666666666664,0.3548387096774194,0.5322580645161291,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C1,25,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C10,1,0.6666666666666666,0.4666666666666667,0.4,0.5714285714285714,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,rbf_svc_C10,2,0.65,0.43333333333333335,0.3939393939393939,0.5909090909090909,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,rbf_svc_C10,3,0.7,0.4666666666666667,0.4117647058823529,0.6176470588235293,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
