fold,stage,epoch,seconds,train_loss,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
4,full,1,14.820842071000015,0.947287058625121,0.6326386780203014,0.8513913301711387,0.723404255319149,0.6946339287373839
4,full,2,8.46098735399994,0.6770911383127391,0.8165389542577676,0.6602512045109525,0.8382978723404255,0.8050421522871385
4,full,3,6.767580011000064,0.5378864376768328,0.8629508627070233,0.593565748092976,0.8638297872340426,0.8406940558715177
4,full,4,8.78420959999994,0.46064182449253294,0.8924667832008232,0.5284445800679796,0.8978723404255319,0.8707937536332135
4,full,5,6.87543972900005,0.41351190648160974,0.9249099434861708,0.5163722251323943,0.8978723404255319,0.8710308535271425
4,full,6,8.799558692000005,0.38764086132067793,0.9361479390713165,0.4946244802880794,0.9234042553191489,0.8976497367715401
4,full,7,7.280148867999969,0.35289656888002646,0.9527658404534443,0.5015469365931572,0.9148936170212766,0.8938453299658896
4,full,8,8.037130653999952,0.3546548311386692,0.9430057506770422,0.5103847782662574,0.9063829787234042,0.8729101769029686
4,full,9,7.303776190999997,0.3203917954893459,0.9739423384979303,0.47004718920017813,0.9191489361702128,0.885388025287406
4,full,10,7.644871316000035,0.3200874854000303,0.9619736458369155,0.4596517895130401,0.9276595744680851,0.8985695056117591
4,full,11,7.288325217000079,0.29612234935705795,0.979787401165803,0.4557785599789721,0.9276595744680851,0.8925771674128598
5,head,1,14.72651475500004,1.342393737921116,0.3069670794413378,1.2181795478805781,0.42913385826771655,0.309511910711311
5,head,2,5.423354614999994,1.2335029531709174,0.43287662230695007,1.1664497401770644,0.49606299212598426,0.40460231167579525
5,head,3,5.291152071999932,1.138260079915939,0.5066967293644337,1.134773701194703,0.5196850393700787,0.4531254285938204
5,full,1,14.938503418999971,0.9630961213859403,0.6217251575233173,0.796545444980381,0.7677165354330708,0.7257345724450988
5,full,2,8.391454623999948,0.6852502410808812,0.8144859759680161,0.6015319063907533,0.8622047244094488,0.8099623564840955
5,full,3,7.660782425999969,0.5279172340874082,0.8644630901216692,0.5620628553112661,0.8661417322834646,0.8139076841401945
5,full,4,7.721048378999967,0.43887328666280284,0.9062760218804173,0.5350273673928628,0.8818897637795275,0.8297874619066367
5,full,5,7.8347432260000005,0.4016428285123311,0.9144958533832043,0.5228673435571626,0.8779527559055118,0.8200608970951319
5,full,6,8.01472964300001,0.3680067003759925,0.9342187244598092,0.5124551301866066,0.8937007874015748,0.8392082851030345
5,full,7,8.293397142000003,0.36515010929618397,0.9336024365199975,0.5192939427893931,0.8858267716535433,0.819935064935065
5,full,8,7.4799723039999435,0.3505221725728983,0.9476604643206811,0.49873238661157804,0.8937007874015748,0.8411385587601337
5,full,9,8.570524814999999,0.3243177729897281,0.9653537956532695,0.5076200084423456,0.8937007874015748,0.8376993052523631
5,full,10,7.150919337999994,0.29143039474468735,0.9790123619718754,0.5144457788917962,0.8937007874015748,0.8536579686980218
5,full,11,8.67743241300002,0.2928859374423338,0.9758354474098054,0.4749543070793152,0.9133858267716536,0.8730381684285407
5,full,12,7.090727517000005,0.28826422620829495,0.9791047825088419,0.4800827306086623,0.8937007874015748,0.8427158861094959
5,full,13,8.761154916999999,0.27829097497196253,0.986240737593792,0.4784158515179251,0.9133858267716536,0.8779999113256768
5,full,14,7.061437952999995,0.28550568272331556,0.9764052084257265,0.5007738808947285,0.8858267716535433,0.8341215916155964
5,full,15,8.889530259999901,0.278578165530462,0.982244044751777,0.48935922346715854,0.889763779527559,0.8312128639334522
